streetname_nl,house_number,postcode,municipality_name_nl,EPSG:4326_lat,EPSG:4326_lon
Bellevuestraat,59,8870,Izegem,50.91722,3.20465
Scheldestraat,100,9040,Gent,51.04941,3.75048
Dendermondsesteenweg,53,9000,Gent,51.05564,3.74361
Winterslagstraat,219,3600,Genk,50.97782,5.50068
Kleine Daelvenne,4,9290,Berlare,51.01235,4.00432
Putstraat,7,3471,Kortenaken,50.84860,4.99811
Heesterweg,5,2450,Meerhout,51.13091,5.09660
Tiensesteenweg,214,3800,Sint-Truiden,50.81347,5.16190
Vuurmolenstraat,33,2610,Antwerpen,51.16881,4.39067
Molenstraat,43,9700,Oudenaarde,50.87329,3.61566
Aartrijkestraat,147,8480,Ichtegem,51.12274,3.03263
Kleine d'Oyestraat,11,3800,Sint-Truiden,50.82419,5.25379
Belvédèreweg,183,9000,Gent,51.04736,3.69571
Lippenslaan,196,8300,Knokke-Heist,51.34807,3.28875
Kalkoenlaan,12,9032,Gent,51.09617,3.71288
De Bosschaertstraat,261,2020,Antwerpen,51.18517,4.38695
Kikvorsstraat,1555,9000,Gent,51.02045,3.71204
Veldstraat,35,8780,Oostrozebeke,50.92152,3.34022
Vennestraat,31,9230,Wetteren,51.00978,3.87206
Stwg. op Aalst,198A,1745,Opwijk,50.96138,4.15393
Steenweg,716,9472,Denderleeuw,50.87205,4.05807
Hoveniersstraat,117,1800,Vilvoorde,50.93127,4.44046
Meysveld,44,9280,Lebbeke,50.98698,4.14136
Veldstraat,5,8830,Hooglede,50.98177,3.07791
Kleine Stadenstraat,120,8830,Hooglede,50.97767,3.03941
Spiegelhofstraat,30,9000,Gent,51.05293,3.70398
Pelikaanstraat,99,2018,Antwerpen,51.21323,4.42109
Mezenstraat,11,2800,Mechelen,51.05056,4.47002
Groendyk,146,8670,Koksijde,51.13206,2.71350
Waesbergdries,1,9570,Lierde,50.82967,3.84977
Heilig Hartlaan,17,1730,Asse,50.90172,4.22122
Kleistraat,5,9680,Maarkedal,50.79425,3.62897
Polderstraat,53,2800,Mechelen,51.03188,4.46716
Moerkerkestraat,38,8000,Brugge,51.20705,3.23647
Molenlei,17,2650,Edegem,51.16269,4.44592
Bassegembosstraat,21,8573,Anzegem,50.81393,3.48103
Fazantweg,4,2223,Heist-op-den-Berg,51.02507,4.69845
Menenstraat,561,8560,Wevelgem,50.79989,3.14527
Nieuwe Baan,126,9111,Sint-Niklaas,51.14628,4.11098
Kluisdreef,11,9300,Aalst,50.93050,4.06526
Moleneind,21,2275,Lille,51.23289,4.82556
Annuntiatenstraat,58,8000,Brugge,51.21583,3.22652
Jean Jaurèslaan,27,8370,Blankenberge,51.31230,3.14902
Hogeweg,108,2800,Mechelen,51.04635,4.44366
Bollestraat,65,8820,Torhout,51.05463,3.11169
Hoogstraat,26,9250,Waasmunster,51.11034,4.08570
Bollenberg,100,3210,Lubbeek,50.87766,4.81744
Vissersstraat,21,8301,Knokke-Heist,51.33930,3.24113
Wilbroek,7,3583,Beringen,51.04987,5.14560
Stationsstraat,50,2440,Geel,51.16465,4.98918
Anjerstraat,19,2850,Boom,51.09932,4.38305
Heelblok,31,3300,Tienen,50.79671,4.92714
Roeselarestraat,75,8840,Staden,50.94200,3.06595
Elfdagwandkouter,2,9700,Oudenaarde,50.85545,3.63695
Hoevensebaan,244,2950,Kapellen,51.30982,4.41379
Kerkkouterstraat,14,9520,Sint-Lievens-Houtem,50.94439,3.86221
Rozenlaan,31,9990,Maldegem,51.20112,3.45540
Steenhuffelstraat,6,1861,Meise,50.97363,4.30519
Oude Vijverweg,10,1653,Beersel,50.73739,4.28681
Steenweg op Drogenbos,267,1620,Drogenbos,50.78568,4.31945
Leynseelstraat,87,8580,Avelgem,50.77604,3.42896
Ter Beke,21,2650,Edegem,51.16509,4.44331
Jan Breydelstraat,50,8770,Ingelmunster,50.92315,3.26136
Schoolstraat,71,2820,Bonheiden,51.01958,4.54026
Rijschoolstraat,15,3300,Tienen,50.80541,4.93426
Martelarenstraat,21,3970,Leopoldsburg,51.12110,5.25611
Steenweg op Aalst,98,9620,Zottegem,50.89832,3.83070
Spijkerlaan,57,8791,Waregem,50.86532,3.34355
Woluweveld,61,1932,Zaventem,50.87474,4.45341
Godshuisstraat,50,1861,Meise,50.95390,4.30487
Vijfde Bosdreef,28,2275,Lille,51.27633,4.80561
Alfred Nobelstraat,26,2812,Mechelen,51.01221,4.50205
Flanelstraat,28,9030,Gent,51.07233,3.68683
Luipegem,149,2880,Bornem,51.08308,4.20384
Aaigemstraat,94,9000,Gent,51.03863,3.70682
Zilverlaan,310,8400,Oostende,51.20919,2.92882
Antwerpsesteenweg,242,2350,Vosselaar,51.31300,4.87219
Boerenkrijglaan,78,2260,Westerlo,51.09211,4.91369
Rietweg,2,2328,Hoogstraten,51.47258,4.77319
Dokter De Moorstraat,63,9300,Aalst,50.94459,4.04531
Molenbergstraat,5,9340,Lede,50.96518,3.97598
Frankfurtlaan,16,2400,Mol,51.19196,5.04113
Tinnenpotstraat,10,8870,Izegem,50.93416,3.21128
Heidebergstraat,96,3010,Leuven,50.88405,4.74304
Donystraat,87,3300,Tienen,50.80676,4.94588
J.B. Devlemincklaan,92,1930,Zaventem,50.87498,4.47500
Wolfaardstraat,38,8800,Roeselare,50.96560,3.14489
Edingseweg,262,9500,Geraardsbergen,50.75081,3.92032
Appeldonkstraat,99,2830,Willebroek,51.06911,4.35627
Toekomststraat,35,3590,Diepenbeek,50.90386,5.42426
Baliestraat,60,9000,Gent,51.04037,3.71526
Architect Vanhoornelaan,39,8560,Wevelgem,50.83556,3.16494
Houwaartstraat,219,3270,Scherpenheuvel-Zichem,50.96554,4.95390
Vijverslaan,5,8020,Oostkamp,51.11325,3.21547
Ajoy Van Deurenstraat,7,8830,Hooglede,50.99715,3.11839
Brusselstraat,124,1740,Ternat,50.87544,4.20222
Bosstraat,80,2861,Sint-Katelijne-Waver,51.06772,4.57715
Nieuwstraat,72,2200,Herentals,51.17922,4.83167
Stationsstraat,47,3110,Rotselaar,50.94863,4.71675
Betlehem,17,8930,Menen,50.79232,3.09827
Dallaan,33,1933,Zaventem,50.85739,4.50059
Douvieweg,50,8978,Poperinge,50.85910,2.62975
Rattepas,13,9860,Oosterzele,50.95142,3.76787
Kerselarenstraat,56,3071,Kortenberg,50.89716,4.58794
Northlaan,13,8400,Oostende,51.21765,2.88823
Fr. Robbrechtsstraat,55,1780,Wemmel,50.91115,4.30522
Bomerstraat,5,3990,Peer,51.13141,5.44968
Acacialaan,4,2390,Malle,51.28686,4.67101
Hoogstraat,96,2570,Duffel,51.09322,4.52168
Kaaskerkestraat,63,8600,Diksmuide,51.03462,2.84424
Rotemerlaan,54,3680,Maaseik,51.07994,5.70640
Nieuwhof,35,9000,Gent,51.05511,3.74445
Beeldhouwersstraat,3,9040,Gent,51.05198,3.74575
Ravenakkerstraat,16,9310,Aalst,50.95433,4.10510
Boezingepoortstraat,4,8900,Ieper,50.85256,2.88369
Zwarte-Beeklaan,18,2950,Kapellen,51.32244,4.44184
Drielindenbaan,37,1785,Merchtem,50.95223,4.22249
Sint-Marcusweg,2,2820,Bonheiden,51.00181,4.58660
Herentalsebaan,127,2240,Zandhoven,51.18896,4.65039
Aalmoezeniersstraat,10,8900,Ieper,50.84939,2.89087
Kortessemstraat,31,3830,Wellen,50.83606,5.35990
Monnikenhofstraat,72,2040,Antwerpen,51.34533,4.32005
Hoolst,29,2490,Balen,51.15541,5.16114
Kardinaal Cardijnlaan,39,8870,Izegem,50.91549,3.20045
Kaphaanlei,238,2640,Mortsel,51.16303,4.47405
Mandelstraat,68,8870,Izegem,50.92417,3.20154
Albert Liénartstraat,13,9300,Aalst,50.94158,4.03932
Sint-Bernadettestraat,566,9000,Gent,51.07521,3.75265
Spinnerijstraat,39,8530,Harelbeke,50.83020,3.30451
Eduard Prissestraat,36,9100,Sint-Niklaas,51.17584,4.16104
René De Pauwstraat,25,2950,Kapellen,51.31312,4.42108
Meeuwenstraat,4,2170,Antwerpen,51.25177,4.44092
Prins Boudewijnstraat,38,8800,Roeselare,50.95886,3.12387
Scheldelaan,2,2030,Antwerpen,51.24233,4.37536
Waterhoenlaan,4,9032,Gent,51.09428,3.71570
Statiestraat,18,2547,Lint,51.12809,4.49712
Koningin Astridlaan,65,8530,Harelbeke,50.85379,3.32545
Hombeeksesteenweg,98,2800,Mechelen,51.01925,4.46989
Vianderdal,14,3300,Tienen,50.81713,4.94971
Roeselaarseweg,7,8820,Torhout,51.05076,3.10442
Kwadestraat,147,8560,Wevelgem,50.85321,3.20511
Watermolenweg,31,9260,Wichelen,50.99060,3.96996
Lattenklieversstraat,11,8730,Beernem,51.12758,3.37074
Rijfstraat,17,3920,Lommel,51.23944,5.30131
Frilinglei,150,2930,Brasschaat,51.28954,4.44988
Alfons Asselbergslaan,7,3080,Tervuren,50.82145,4.50204
David Teniersweg,5,1861,Meise,50.95725,4.30095
Ommegangstraat,18A,3890,Gingelom,50.74160,5.13852
