streetname_nl,house_number,postcode,municipality_name_nl
Wolfaardstraat,38,8800,Roeselare
Edingseweg,262,9500,Geraardsbergen
Appeldonkstraat,99,2830,Willebroek
Toekomststraat,35,3590,Diepenbeek
Baliestraat,60,9000,Gent
Architect Vanhoornelaan,39,8560,Wevelgem
Houwaartstraat,219,3270,Scherpenheuvel-Zichem
Vijverslaan,5,8020,Oostkamp
Ajoy Van Deurenstraat,7,8830,Hooglede
Brusselstraat,124,1740,Ternat
Bosstraat,80,2861,Sint-Katelijne-Waver
Nieuwstraat,72,2200,Herentals
Stationsstraat,47,3110,Rotselaar
Betlehem,17,8930,Menen
Dallaan,33,1933,Zaventem
Douvieweg,50,8978,Poperinge
Rattepas,13,9860,Oosterzele
Kerselarenstraat,56,3071,Kortenberg
Northlaan,13,8400,Oostende
Fr. Robbrechtsstraat,55,1780,Wemmel
Bomerstraat,5,3990,Peer
Acacialaan,4,2390,Malle
Hoogstraat,96,2570,Duffel
Kaaskerkestraat,63,8600,Diksmuide
Rotemerlaan,54,3680,Maaseik
Nieuwhof,35,9000,Gent
Beeldhouwersstraat,3,9040,Gent
Ravenakkerstraat,16,9310,Aalst
Boezingepoortstraat,4,8900,Ieper
Zwarte-Beeklaan,18,2950,Kapellen
Drielindenbaan,37,1785,Merchtem
Sint-Marcusweg,2,2820,Bonheiden
Herentalsebaan,127,2240,Zandhoven
Aalmoezeniersstraat,10,8900,Ieper
Kortessemstraat,31,3830,Wellen
Monnikenhofstraat,72,2040,Antwerpen
Hoolst,29,2490,Balen
Kardinaal Cardijnlaan,39,8870,Izegem
Kaphaanlei,238,2640,Mortsel
Mandelstraat,68,8870,Izegem
Albert Liénartstraat,13,9300,Aalst
Sint-Bernadettestraat,566,9000,Gent
Spinnerijstraat,39,8530,Harelbeke
Eduard Prissestraat,36,9100,Sint-Niklaas
René De Pauwstraat,25,2950,Kapellen
Meeuwenstraat,4,2170,Antwerpen
Prins Boudewijnstraat,38,8800,Roeselare
Scheldelaan,2,2030,Antwerpen
Waterhoenlaan,4,9032,Gent
Statiestraat,18,2547,Lint
Koningin Astridlaan,65,8530,Harelbeke
Hombeeksesteenweg,98,2800,Mechelen
Vianderdal,14,3300,Tienen
Roeselaarseweg,7,8820,Torhout
Kwadestraat,147,8560,Wevelgem
Watermolenweg,31,9260,Wichelen
Lattenklieversstraat,11,8730,Beernem
Rijfstraat,17,3920,Lommel
Frilinglei,150,2930,Brasschaat
Alfons Asselbergslaan,7,3080,Tervuren
David Teniersweg,5,1861,Meise
Ommegangstraat,18A,3890,Gingelom
